formula,Log(initial permeability),Log(max permeability),Losses,Remanent induction,Coercivity,Saturation polarization,Resistivity
Fe70.1Si17.4Al12.5,7.467371067,7.60090246,100.0,240.0,7.96,,
Fe85.8Al14.2,6.086774727,8.888756748,1472.0,7100.0,35.01,1.838,75.8
Fe84.6Si1.3Al14.1,5.598421959,8.340456013,1422.0,4100.0,38.99,,97.8
Fe82.0Si4.3Al13.7,5.298317367,9.076808979,947.0,5700.0,23.87,,98.2
Fe80.5Si5.9Al13.6,7.244227516,10.06900199,317.0,5000.0,9.55,1.47,103.1
Fe78.4Si8.0Al13.6,7.377758908,9.319194777,877.0,5200.0,16.71,,104.6
Fe76.8Si9.3Al13.9,7.34601021,9.350102314,740.0,5340.0,18.3,1.23,85.1
Fe74.1Si12.4Al13.5,7.824046011,9.332558005,492.0,3300.0,13.53,1.058,85.1
Fe72.4Si14.0Al13.5,8.517193191,9.975808214,91.0,2650.0,5.33,,103.6
Fe72.0Si14.7Al13.3,8.699514748,10.32548196,46.0,2040.0,2.79,,106.5
Fe71.1Si16.1Al12.7,8.699514748,9.532423871,127.0,2420.0,7.96,0.811,122.3
Fe70.0Si16.9Al13.2,7.863266724,8.630521877,282.0,2050.0,18.3,,135.1
Fe68.8Si18.3Al12.9,7.064759028,7.955074273,508.0,1950.0,37.4,0.585,143.0
Fe83.7Al16.3,5.560681631,7.565275282,1582.0,1800.0,53.32,1.613,99.8
Fe81.7Si1.6Al16.7,6.633318433,9.047821442,1100.0,5500.0,34.22,1.521,98.2
Fe80.7Si2.9Al16.4,7.003065459,9.510444964,765.0,6100.0,17.51,,95.0
Fe79.1Si4.6Al16.3,7.170119543,8.354674262,1044.0,2700.0,30.24,1.085,90.0
Fe77.5Si6.3Al16.1,6.802394763,9.088172738,870.0,4100.0,19.89,,89.0
Fe76.1Si7.9Al16.0,7.45007957,8.603370888,383.0,2900.0,19.89,1.074,95.4
Fe75.5Si8.7Al15.8,7.244227516,8.026170195,248.0,880.0,15.92,,
Fe73.3Si10.8Al15.9,7.560080465,8.999619341,223.0,2600.0,11.14,,
Fe71.3Si12.6Al16.1,7.863266724,9.417354541,171.0,2930.0,9.55,0.81,116.9
Fe70.9Si13.4Al15.7,7.882314919,9.449357272,233.0,3450.0,11.94,,128.1
Fe69.5Si15.1Al15.4,7.696212639,8.527143522,402.0,2450.0,24.67,0.557,144.8
Fe67.9Si16.5Al15.6,6.476972363,7.390181428,,,,0.414,163.9
Fe67.5Si17.8Al14.7,5.438079309,6.579251212,,,,0.336,178.5
Fe66.0Si18.9Al15.1,3.135494216,3.401197382,,,,,
