formula,Log(initial permeability),Log(max permeability),Losses,Remanent induction,Coercivity,Saturation polarization,Resistivity
Fe0.741Si0.124Al0.135,7.824046011,9.332558005,492.0,3300.0,13.53,1.058,85.1
Fe0.724Si0.140Al0.135,8.517193191,9.975808214,91.0,2650.0,5.33,,103.6
Fe0.720Si0.147Al0.133,8.699514748,10.32548196,46.0,2040.0,2.79,,106.5
Fe0.711Si0.161Al0.127,8.699514748,9.532423871,127.0,2420.0,7.96,0.811,122.3
Fe0.700Si0.169Al0.132,7.863266724,8.630521877,282.0,2050.0,18.3,,135.1
Fe0.688Si0.183Al0.129,7.064759028,7.955074273,508.0,1950.0,37.4,0.585,143.0
Fe0.837Al0.163,5.560681631,7.565275282,1582.0,1800.0,53.32,1.613,99.8
Fe0.817Si0.016Al0.167,6.633318433,9.047821442,1100.0,5500.0,34.22,1.521,98.2
Fe0.807Si0.029Al0.164,7.003065459,9.510444964,765.0,6100.0,17.51,,95.0
Fe0.791Si0.046Al0.163,7.170119543,8.354674262,1044.0,2700.0,30.24,1.085,90.0
Fe0.775Si0.063Al0.161,6.802394763,9.088172738,870.0,4100.0,19.89,,89.0
Fe0.761Si0.079Al0.160,7.45007957,8.603370888,383.0,2900.0,19.89,1.074,95.4
Fe0.755Si0.087Al0.158,7.244227516,8.026170195,248.0,880.0,15.92,,
Fe0.733Si0.108Al0.159,7.560080465,8.999619341,223.0,2600.0,11.14,,
Fe0.713Si0.126Al0.161,7.863266724,9.417354541,171.0,2930.0,9.55,0.81,116.9
Fe0.709Si0.134Al0.157,7.882314919,9.449357272,233.0,3450.0,11.94,,128.1
Fe0.695Si0.151Al0.154,7.696212639,8.527143522,402.0,2450.0,24.67,0.557,144.8
Fe0.679Si0.165Al0.156,6.476972363,7.390181428,,,,0.414,163.9
Fe0.675Si0.178Al0.147,5.438079309,6.579251212,,,,0.336,178.5
Fe0.660Si0.189Al0.151,3.135494216,3.401197382,,,,,
Fe0.786Al0.214,6.396929655,7.783224016,,,,1.577,99.2
